id,movie_name,time,year,nation,director,company,grade,actor1,actor2,actor3,poster_url,link_url,user_rating,genre_id
372,장고:분노의 추적자,165,20130321,미국,쿠엔틴 타란티노,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년관람불가,271,611,902,https://ssl.pstatic.net/imgmovie/mdi/mit110/0873/87311_P47_140344.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87311,8.47,10
373,웃는 남자,94,20130328,프랑스,장 피에르 아메리스,씨너스엔터테인먼트(주),15세이상관람가,272,612,903,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181070,0,7
374,안나 카레니나,130,20130321,미국,조 라이트,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,81,540,904,https://ssl.pstatic.net/imgmovie/mdi/mit110/1760/176008_P01_174945.png,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176008,8.5,4
375,지슬 - 끝나지 않은 세월2,108,20130321,한국,오멸,주식회사 자파리필름,15세이상관람가,273,613,905,https://ssl.pstatic.net/imgmovie/mdi/mit110/0993/99354_P14_161358.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99354,6.21,4
376,월드 워 Z,115,20130620,미국,마크 포스터,플랜 비 엔터테인먼트,15세이상관람가,274,614,906,https://ssl.pstatic.net/imgmovie/mdi/mit110/0517/51777_P39_121351.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51777,8.21,4
377,더 웹툰: 예고살인,104,20130627,한국,김용균,(주)필마픽쳐스,15세이상관람가,275,548,907,https://ssl.pstatic.net/imgmovie/mdi/mit110/0969/96917_P04_104620.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96917,7.22,2
378,화이트 하우스 다운,131,20130627,미국,롤랜드 에머리히,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,276,611,908,https://ssl.pstatic.net/imgmovie/mdi/mit110/1448/144815_P01_120734.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144815,7.17,13
379,은밀하게 위대하게,123,20130605,한국,장철수,(주)엠씨엠씨,15세이상관람가,277,615,909,https://ssl.pstatic.net/imgmovie/mdi/mit110/0925/92575_P12_175811.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92575,7.11,13
380,맨 오브 스틸,142,20130613,미국,잭 스나이더,워너브러더스 코리아(주),12세이상관람가,278,529,213,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109960_P40_151903.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109960,6.85,18
381,빅 웨딩,87,20130627,미국,저스틴 잭햄,(주)나이너스엔터테인먼트,청소년관람불가,153,616,236,https://ssl.pstatic.net/imgmovie/mdi/mit110/1755/175590_P01_154005.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175590,0,5
382,스타트렉 다크니스,131,20130530,미국,J.J. 에이브럼스,파라마운트 픽쳐스,12세이상관람가,279,617,539,https://ssl.pstatic.net/imgmovie/mdi/mit110/0745/74565_P50_114752.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74565,8.97,13
