movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20040682,역도산,137,20041215,한국,송해성,(주)싸이더스,12세관람가,드라마,,,설경구,이명수,유병훈
20040743,브리짓 존스의 일기2 : 열정과 애정,107,20041208,영국,비번 키드론,워킹 타이틀 필름,15세관람가,멜로/로맨스,드라마,,르네 젤위거,휴 그랜트,린 콜린스
20040717,블레이드 3,112,20041215,미국,데이빗 S. 고이어,뉴라인 시네마,18세관람가,액션,,,웨슬리 스나입스,라이언 레이놀즈,
20050049,주먹이 운다(Crying Fist),134,20050401,한국,류승완,(주)브라보엔터테인먼트,15세관람가,드라마,,,최민식,류승범,임원희
20050017,달콤한 인생,120,20050401,한국,김지운,(주)영화사봄,18세관람가,액션,,,이병헌,김영철,신민아
20040778,마파도,107,20050310,한국,추창민,코리아 엔터테인먼트,15세관람가,코미디,,,김수미,여운계,이정진
20050013,잠복근무,111,20050317,한국,박광춘,(주)마인엔터테인먼트 ,15세관람가,코미디,액션,,김원진,공유,김선아
20050048,미스 에이전트2 : 라스베가스 잠입사건,115,20050401,미국,존 파스킨,캐슬 락 엔터테인먼트,12세관람가,액션,코미디,,산드라 블록,레지나 킹,디트리히 베이더
20050028,밀리언 달러 베이비,132,20050310,미국,클린트 이스트우드,워너 브러더스 픽쳐스,12세이상관람가,드라마,,,힐러리 스웽크,클린트 이스트우드,
20050042,"지금, 만나러 갑니다",118,20050325,일본,도이 노부히로,도호쿠신샤,12세관람가,드라마,멜로/로맨스,판타지,다케우치 유코,나카무라 시도,
20050039,유희왕,86,20100128,일본,츠지 하츠키,포키즈엔터테인먼트,전체관람가,애니메이션,액션,어드벤처,마이크 폴락,웨인 그레이슨,에릭 스튜어트
20050033,Mr.히치: 당신을 위한 데이트 코치,118,20050311,미국,앤디 테넌트,오버브룩 엔터테인먼트,12세관람가,멜로/로맨스,코미디,,윌 스미스,에바 멘데스,
20050037,호스티지,113,20050318,미국,플로렝 에밀리오 시리,미라맥스 필름즈,15세관람가,스릴러,,,케빈 폴락,브루스 윌리스,
20050113,미스터 & 미세스 스미스,120,20050616,미국,더그 라이만,뉴리전시 픽쳐스,15세관람가,멜로/로맨스,액션,어드벤처,안젤리나 졸리,브래드 피트,빈스 본
20050135,분홍신,103,20050630,한국,김용균,청년필름(주),15세관람가,공포(호러),,,김혜수,김성수,박연아
20050112,배트맨 비긴즈,134,20050624,미국,크리스토퍼 놀란,워너 브러더스 픽쳐스,12세관람가,범죄,액션,판타지,리암 니슨,크리스찬 베일,마이클 케인
20050084,씬 시티,125,20050630,미국,프랭크 밀러,디멘션 필름즈,18세관람가,범죄,스릴러,액션,미키 루크,제시카 알바,브루스 윌리스
20050129,셔터,97,20050630,태국,팍품 웡품,GMM픽처스,15세관람가,공포(호러),,,나타웨라누크 통미,아난다 에버링엄,
20050110,연애의 목적,121,20050610,한국,한재림,(주)싸이더스,18세관람가,드라마,코미디,멜로/로맨스,강혜정,박해일,이대연
20050115,사하라,127,20050624,미국,브렉 에이즈너,브리스톨베이프로덕션즈,12세관람가,액션,어드벤처,,페넬로페 크루즈,매튜 매커너히,매튜 매커너히
20050064,간 큰 가족,102,20050609,한국,조명남,(주)두사부필름,12세관람가,코미디,,,감우성,김수미,김수로
20050131,아미티빌 호러,89,20050701,미국,앤드류 더글라스,디멘션 필름즈,15세관람가,공포(호러),,,멜리사 조지,라이언 레이놀즈,
20050123,에로스,108,20050630,미국,왕가위,판당고,18세관람가,드라마,멜로/로맨스,,공리,장첸,로버트 다우니 주니어
20050239,너는 내 운명,121,20050923,한국,박진표,(주)영화사봄,18세관람가,멜로/로맨스,,,전도연,황정민,나문희
20050219,가문의 위기(가문의 영광2),115,20050907,한국,정용기,(주)태원엔터테인먼트,15세관람가,코미디,,,신현준,김수미,김원희
20050233,강력 3반,111,20050929,한국,손희창,(주)씨네넷,15세관람가,액션,,,김민준,허준호,남상미
20050237,미스터 주부퀴즈왕,107,20050930,한국,유선동,폴스타엔터테인먼트,12세관람가,코미디,,,공형진,김영애,한석규
20050225,찰리와 초콜릿 공장,114,20050916,미국,팀 버튼,빌리지 로드쇼 픽쳐스,전체관람가,코미디,가족,판타지,프레디 하이모어,조니 뎁,
20050238,칠검,118,20050929,홍콩,서극,중국전영합작제편공사,15세관람가,액션,,,견자단,여명,양채니
20050180,웰컴 투 동막골,133,20050804,한국,박광현,필름있수다,12세관람가,전쟁,드라마,,신하균,정재영,강혜정
20050245,사랑니,115,20050929,한국,정지우,(주)시네마서비스,15세관람가,멜로/로맨스,,,김정은,이태성,정유미
20050228,보글보글 스폰지밥,87,20050930,미국,스티븐 힐렌버그,니켈로던 무비즈,전체관람가,애니메이션,코미디,,톰 케니,,
20050222,신데렐라맨,144,20050915,미국,론 하워드,터치스톤 픽쳐스,전체관람가,드라마,,,르네 젤위거,러셀 크로우,
20050333,왕의 남자,119,20051229,한국,이준익,(주)씨네월드,15세이상관람가,드라마,,,감우성,이준기,유해진
20050338,"나니아 연대기-사자,마녀 그리고 옷장",139,20051229,미국,앤드류 아담슨,월트 디즈니 픽쳐스,전체관람가,가족,어드벤처,판타지,조지 헨리,스캔더 킨즈,
20050324,킹콩,186,20051214,미국,피터 잭슨,유니버셜 픽쳐스,15세관람가,드라마,어드벤처,,잭 블랙,애드리언 브로디,나오미 왓츠
20050326,태풍,125,20051214,한국,곽경택,씨제이엔터테인먼트,15세관람가,드라마,액션,,김혜정,김원진,이정재
20050330,작업의 정석,100,20051221,한국,오기환,영화사청어람(주),15세관람가,코미디,,,손예진,송일국,김애경
20050342,청연,133,20051229,한국,윤종찬,코리아픽쳐스(주),12세관람가,드라마,,,장진영,김주혁,김응수
20050310,해리포터와 불의 잔,156,20051201,미국,마이크 뉴웰,워너 브러더스 픽쳐스,전체관람가,판타지,,,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트
20050332,파랑주의보,95,20051222,한국,전윤수,(주)아이필름홀딩스,12세관람가,드라마,,,송혜교,차태현,김신영
20050341,빅 화이트,104,20051229,미국,마크 미로드,씨제이엔터테인먼트,15세관람가,코미디,드라마,범죄,로빈 윌리엄스,홀리 헌터,우디 해럴슨
20060051,청춘만화,116,20060323,한국,이한,㈜팝콘필름,12세관람가,코미디,멜로/로맨스,,권상우,김하늘,이상우
20060057,뻔뻔한 딕&제인,90,20060330,미국,딘 패리소트,소니 픽쳐스 엔터테인먼트,12세관람가,코미디,범죄,,짐 캐리,테이어 레오니,
20060056,원초적 본능 2,113,20060330,미국,마이클 카튼-존스,C-2 픽쳐스,18세관람가,스릴러,,,샤론 스톤,데이비드 모리시,
20060033,오만과 편견,128,20060324,미국,조 라이트,워킹 타이틀 필름,12세관람가,멜로/로맨스,드라마,,키이라 나이틀리,매튜 맥퍼딘,
20060046,방과후 옥상,103,20060316,한국,이석훈,씨네온엔터테인먼트(주),15세관람가,코미디,,,봉태규,진태현,최은주
20060050,무인 곽원갑,105,20060323,중국,우인태,베이징 필름 스튜디오,12세관람가,액션,,,이연걸,나카무라 시도,
20050308,카리스마 탈출기,100,20060330,한국,권남기,태창엔터테인먼트(주),15세관람가,코미디,,,안재모,윤은혜,박슬기
20060067,시리아나,127,20060330,미국,스티븐 개건,워너 브러더스 픽쳐스,15세관람가,스릴러,드라마,,조지 클루니,맷 데이먼,
20060064,나나,114,20060330,일본,오타니 겐타로,티비에스,12세관람가,드라마,,,미야자키 아오이,,
20060048,브이 포 벤데타,132,20060316,미국,제임스 맥티그,실버 픽쳐스,15세관람가,액션,,,휴고 위빙,,
20060148,수퍼맨 리턴즈,153,20060628,미국,브라이언 싱어,워너 브러더스 픽쳐스,전체관람가,SF,액션,판타지,브랜든 루스,케빈 스페이시,
20060157,아랑,97,20060628,한국,안상훈,㈜더드림앤드픽쳐스,15세관람가,공포(호러),,,송윤아,이동욱,김정우
20060137,비열한 거리,141,20060615,한국,유하,(주)싸이더스,18세관람가,액션,범죄,드라마,조인성,천호진,김원진
20060136,엑스맨 : 최후의 전쟁,103,20060615,미국,브렛 래트너,이십세기폭스필름코퍼레이션,12세관람가,SF,액션,,휴 잭맨,할리 베리,이안 맥켈런
20060156,럭키 넘버 슬레븐,105,20060622,미국,폴 맥기건,롯데쇼핑㈜롯데엔터테인먼트,18세관람가,스릴러,범죄,,조쉬 하트넷,브루스 윌리스,
20060138,강적,118,20060622,한국,조민호,(주)미로비젼,15세관람가,액션,드라마,,박중훈,천정명,강민수
20050313,아치와 씨팍,90,20060628,한국,조범진,제이팀스튜디오(주),18세관람가,애니메이션,코미디,액션,류승범,임창정,최준영
20060164,착신아리 파이널,103,20060622,일본,아소 마나부,씨제이엔터테인먼트,15세관람가,공포(호러),,,호리키타 마키,구로키 메이사,장근석
20060139,하프 라이트,105,20060628,미국,크레이그 로젠버그,레이크쇼어 엔터테인먼트,15세관람가,스릴러,,,데미 무어,한스 매디슨,
20060129,포세이돈,98,20060531,미국,볼프강 페터젠,워너 브러더스 픽쳐스,12세관람가,액션,드라마,스릴러,커트 러셀,조쉬 루카스,
20060277,타짜,139,20060928,한국,최동훈,(주)영화사참,18세관람가,드라마,,,조승우,김혜수,백윤식
20060257,가문의 부활 - 가문의 영광3,128,20060921,한국,정용기,(주)태원엔터테인먼트,15세관람가,코미디,,,신현준,김원희,김수미
20060244,우리들의 행복한 시간,120,20060914,한국,송해성,(주)엘제이필름,15세관람가,드라마,,,강동원,이나영,윤여정
20060284,라디오 스타,115,20060928,한국,이준익,(주)영화사아침,12세관람가,드라마,,,박중훈,안성기,김현아
