movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
아이 캔 스피크,118,20170921,한국,김현석,주식회사 영화사 시선,12세이상관람가,['코미디'],"['나문희', '이제훈', '박철민']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1618/161850_P48_112458.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161850,9.37
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,89,20170927,일본,우시로 신지,씨제이이앤엠(주),전체관람가,['애니메이션'],"['박경혜', '홍범기', '김현지']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1562/156200_P08_150801.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156200,8.31
레고 닌자고 무비,101,20170928,미국,찰리 빈,워너브러더스 코리아(주),전체관람가,"['애니메이션', '액션', '코미디']",[],https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125439_P12_112754.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125439,8.41
살인자의 기억법,118,20170906,한국,원신연,(주)쇼박스,15세이상관람가,"['범죄', '스릴러']","['설경구', '김남길', '설현']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137890_P95_163447.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137890,7.69
킬러의 보디가드,118,20170830,미국,패트릭 휴즈,(주)제이앤씨미디어그룹,15세이상관람가,"['액션', '코미디']","['라이언 레이놀즈', '사무엘 L. 잭슨', '셀마 헤이엑']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152625_P28_174242.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152625,8.41
베이비 드라이버,112,20170914,영국,에드가 라이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"['액션', '범죄', '스릴러']","['안셀 엘고트', '케빈 스페이시', '릴리 제임스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1434/143402_P04_104703.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=143402,7.99
리틀 프린세스 소피아 : 신비한 섬,63,20170928,미국,제이미 미첼,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"['애니메이션', '어드벤처', '가족']","['김미랑', '서지연', '사문영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1655/165514_P10_140858.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165514,8.47
인비저블 게스트,106,20170921,스페인,오리올 파울로,(주)더블앤조이픽쳐스,15세이상관람가,"['범죄', '미스터리', '스릴러']","['마리오 카사스', '안나 와게너', '호세 코로나도']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1595/159516_P07_112931.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159516,8.93
김광석,81,20170830,한국,이상호,(주)씨네포트,15세이상관람가,['다큐멘터리'],"['김광석', '이상호', '신종민']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1516/151674_P15_151947.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151674,8.70
신과함께-죄와 벌,139,20171220,한국,김용화,리얼라이즈픽쳐스(주),12세이상관람가,"['판타지', '드라마']","['하정우', '차태현', '주지훈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0855/85579_P30_153304.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85579,7.83
