74,웰컴 투 동막골,133,20050804,한국,박광현,필름있수다,12세관람가,15,67,155,57,https://ssl.pstatic.net/imgmovie/mdi/mit110/0394/39405_P01_231629.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39405,8.91
75,사랑니,115,20050929,한국,정지우,(주)시네마서비스,15세관람가,5,68,448,232,https://ssl.pstatic.net/imgmovie/mdi/mit110/1162/116275_P01_175916.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116275,0
76,보글보글 스폰지밥,87,20050930,미국,스티븐 힐렌버그,니켈로던 무비즈,전체관람가,12,69,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/39676_P00_152859.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39676,8.72
77,신데렐라맨,144,20050915,미국,론 하워드,터치스톤 픽쳐스,전체관람가,4,41,213,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0529/E2954-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52954,7.44
78,왕의 남자,119,20051229,한국,이준익,(주)씨네월드,15세이상관람가,4,59,449,154,https://ssl.pstatic.net/imgmovie/mdi/mit110/1585/158599_P03_160952.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158599,0
79,"나니아 연대기-사자,마녀 그리고 옷장",139,20051229,미국,앤드류 아담슨,월트 디즈니 픽쳐스,전체관람가,1,70,450,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0399/C9907-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39907,7.3
80,킹콩,186,20051214,미국,피터 잭슨,유니버셜 픽쳐스,15세관람가,4,71,200,778,https://ssl.pstatic.net/imgmovie/mdi/mit110/1209/120969_P00_132843.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120969,0
81,태풍,125,20051214,한국,곽경택,씨제이엔터테인먼트,15세관람가,4,72,45,268,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146548_P31_112950.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146548,8.61
82,작업의 정석,100,20051221,한국,오기환,영화사청어람(주),15세관람가,16,73,451,779,https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/C9652-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39652,6.51
83,청연,133,20051229,한국,윤종찬,코리아픽쳐스(주),12세관람가,4,74,16,27,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4569-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34569,7.6
84,해리포터와 불의 잔,156,20051201,미국,마이크 뉴웰,워너 브러더스 픽쳐스,전체관람가,17,75,361,780,https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/C7883-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37883,7.95
85,파랑주의보,95,20051222,한국,전윤수,(주)아이필름홀딩스,12세관람가,4,76,162,781,https://ssl.pstatic.net/imgmovie/mdi/mit110/0855/85533_P01_111443.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85533,0
86,빅 화이트,104,20051229,미국,마크 미로드,씨제이엔터테인먼트,15세관람가,16,77,38,708,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68632,0
87,청춘만화,116,20060323,한국,이한,㈜팝콘필름,12세관람가,16,78,22,782,https://ssl.pstatic.net/imgmovie/mdi/mit110/0433/D3368-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43368,6.2
88,뻔뻔한 딕&제인,90,20060330,미국,딘 패리소트,소니 픽쳐스 엔터테인먼트,12세관람가,16,79,452,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0388/C8880-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38880,7.67
89,원초적 본능 2,113,20060330,미국,마이클 카튼-존스,C-2 픽쳐스,18세관람가,11,80,453,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0524/52453_P78_101300.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52453,6.22
90,오만과 편견,128,20060324,미국,조 라이트,워킹 타이틀 필름,12세관람가,5,81,454,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0875/87585_P27_105921.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87585,6.33
91,방과후 옥상,103,20060316,한국,이석훈,씨네온엔터테인먼트(주),15세관람가,16,82,455,783,https://ssl.pstatic.net/imgmovie/mdi/mit110/0249/B4944-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24944,6.55
92,무인 곽원갑,105,20060323,중국,우인태,베이징 필름 스튜디오,12세관람가,13,83,439,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0578/E7897-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=57897,8.29
93,카리스마 탈출기,100,20060330,한국,권남기,태창엔터테인먼트(주),15세관람가,16,84,219,784,https://ssl.pstatic.net/imgmovie/mdi/mit110/0428/D2864-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42864,4.75
94,시리아나,127,20060330,미국,스티븐 개건,워너 브러더스 픽쳐스,15세관람가,11,85,124,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0525/E2514-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52514,7.37
95,나나,114,20060330,일본,오타니 겐타로,티비에스,12세관람가,4,86,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1547/154708_P01_161846.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154708,0
96,브이 포 벤데타,132,20060316,미국,제임스 맥티그,실버 픽쳐스,15세관람가,13,87,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0432/D3208-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43208,9.02
97,수퍼맨 리턴즈,153,20060628,미국,브라이언 싱어,워너 브러더스 픽쳐스,전체관람가,18,88,456,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0401/D0177-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40177,6.88
98,아랑,97,20060628,한국,안상훈,㈜더드림앤드픽쳐스,15세관람가,2,89,457,785,https://ssl.pstatic.net/imgmovie/mdi/mit110/1491/149108_P01_141340.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149108,0
99,비열한 거리,141,20060615,한국,유하,(주)싸이더스,18세관람가,13,90,458,45,https://ssl.pstatic.net/imgmovie/mdi/mit110/1165/116577_P10_150756.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116577,5.71
100,엑스맨 : 최후의 전쟁,103,20060615,미국,브렛 래트너,이십세기폭스필름코퍼레이션,12세관람가,18,91,15,605,https://ssl.pstatic.net/imgmovie/mdi/mit110/0439/D3995-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=43995,7.47
101,럭키 넘버 슬레븐,105,20060622,미국,폴 맥기건,롯데쇼핑㈜롯데엔터테인먼트,18세관람가,11,92,183,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0474/D7401-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47401,8.21
102,강적,118,20060622,한국,조민호,(주)미로비젼,15세관람가,13,93,459,786,https://ssl.pstatic.net/imgmovie/mdi/mit110/1302/130211_P01_171315.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130211,9
103,아치와 씨팍,90,20060628,한국,조범진,제이팀스튜디오(주),18세관람가,12,94,132,787,https://ssl.pstatic.net/imgmovie/mdi/mit110/0324/C2470-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32470,7.57
104,착신아리 파이널,103,20060622,일본,아소 마나부,씨제이엔터테인먼트,15세관람가,2,95,460,492,https://ssl.pstatic.net/imgmovie/mdi/mit110/0583/E8387-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=58387,3.84
105,하프 라이트,105,20060628,미국,크레이그 로젠버그,레이크쇼어 엔터테인먼트,15세관람가,11,96,461,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1747/174790_P01_173635.jpeg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174790,0
106,포세이돈,98,20060531,미국,볼프강 페터젠,워너 브러더스 픽쳐스,12세관람가,13,97,462,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1234/123448_P06_154913.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123448,3.91
107,타짜,139,20060928,한국,최동훈,(주)영화사참,18세관람가,4,98,53,788,https://ssl.pstatic.net/imgmovie/mdi/mit110/0969/96951_P02_144524.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96951,8.12
108,가문의 부활 - 가문의 영광3,128,20060921,한국,정용기,(주)태원엔터테인먼트,15세관람가,16,62,463,44,https://ssl.pstatic.net/imgmovie/mdi/mit110/0577/E7729-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=57729,3.97
